Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,h2h_team1_winrate_prior,venue_team1_winrate_prior,venue_team2_winrate_prior,venue_avg_first_innings_runs_prior,team1_recent_runs_for_5,team2_recent_runs_for_5,team1_recent_runs_against_5,team2_recent_runs_against_5,team1_recent_wkts_taken_5,team2_recent_wkts_taken_5,team1_recent_powerplay_rr_5,team2_recent_powerplay_rr_5,team1_recent_death_rr_5,team2_recent_death_rr_5,team1_player_elo_avg_prior,team2_player_elo_avg_prior,player_elo_gap_prior,team1_xi_continuity_prior,team2_xi_continuity_prior,team1_player_availability_prior,team2_player_availability_prior,team1_injury_proxy_prior,team2_injury_proxy_prior,venue_toss_bat_rate_prior,toss_decision_alignment_prior,toss_decision_venue_team1_winrate_prior,toss_field_chase_boost_team1,venue_pp_rr_first_innings_prior,venue_death_rr_first_innings_prior,venue_pp_rr_second_innings_prior,venue_death_rr_second_innings_prior,Match_Winner,Team1_Player_1,Team1_Player_2,Team1_Player_3,Team1_Player_4,Team1_Player_5,Team1_Player_6,Team1_Player_7,Team1_Player_8,Team1_Player_9,Team1_Player_10,Team1_Player_11,Team2_Player_1,Team2_Player_2,Team2_Player_3,Team2_Player_4,Team2_Player_5,Team2_Player_6,Team2_Player_7,Team2_Player_8,Team2_Player_9,Team2_Player_10,Team2_Player_11
335996,2008-04-28,Royal Challengers Bengaluru vs Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,0.6,0.8,0.6,0.19999999999999996,0.5,0.125,0.5,148.875,135.8,203.4,162.0,178.2,6.0,6.8,7.966666666666666,9.566666666666666,4.571284271284272,9.773325339843694,995.7414885781868,1043.884268156682,-48.142779578495265,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.09090909090909094,0.0,0.0,0.5,0.0,7.166666666666666,7.846794871794872,7.7160714285714285,3.129399585921325,Chennai Super Kings,B Chipli,W Jaffer,LRPL Taylor,JH Kallis,MV Boucher,V Kohli,R Dravid,P Kumar,Z Khan,B Akhil,DW Steyn,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,Joginder Sharma,P Amarnath,MS Gony
335997,2008-04-29,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,0.4,0.2,0.5416666666666666,0.08333333333333326,0.4444444444444444,0.5416666666666666,0.6,177.0909090909091,184.4,182.8,180.0,194.2,6.0,6.2,10.133333333333333,9.4,9.924842254519673,8.742817460317461,1009.3290309889865,971.1423343750383,38.18669661394813,0.9090909090909091,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.09090909090909094,0.0,0.0,0.5,0.0,8.272727272727273,8.926173467663139,8.946969696969695,7.387130407036071,Mumbai Indians,BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda,AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,SM Pollock,AM Nayar,A Nehra,DS Kulkarni,CRD Fernando,PR Shah
335998,2008-04-30,Delhi Capitals vs Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.4,0.4,0.4444444444444444,-0.11111111111111116,0.2857142857142857,0.5555555555555556,0.6666666666666666,173.0,163.6,147.6,176.4,177.4,5.4,5.0,8.5,7.4333333333333345,6.7787980295566514,5.642712842712843,1002.4691514590718,988.6865687413612,13.782582717710625,0.9090909090909091,0.8181818181818182,1.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.5,0.5555555555555556,8.547619047619047,9.898181087985236,7.999999999999999,5.706731145154791,Delhi Capitals,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,R Bhatia,DL Vettori,Mohammad Asif,VY Mahesh,GD McGrath,P Kumar,W Jaffer,LRPL Taylor,JH Kallis,R Dravid,MV Boucher,V Kohli,Z Khan,DW Steyn,R Vinay Kumar,SB Joshi
336000,2008-05-01,Rajasthan Royals vs Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,0.6,0.2,0.6470588235294118,0.2941176470588236,0.16666666666666666,0.5882352941176471,0.75,162.6,166.4,170.6,167.8,166.6,6.0,5.0,9.433333333333334,9.599999999999998,7.536725110638154,9.035854490337249,1014.6640454057156,1007.9610386873704,6.7030067183451365,0.9090909090909091,0.6363636363636364,0.9090909090909091,0.7272727272727273,0.09090909090909094,0.2727272727272727,0.4,0.0,0.5714285714285714,0.0,7.877777777777779,8.074910916031607,8.71111111111111,7.393433451369378,Rajasthan Royals,GC Smith,SA Asnodkar,M Kaif,YK Pathan,SR Watson,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel,Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge,DJ Hussey,LR Shukla,DB Das,WP Saha,Umar Gul,I Sharma,AB Dinda
336001,2008-05-02,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,1.0,0.6,0.5,0.0,0.625,0.75,0.5,177.5,201.6,162.0,173.6,171.6,8.0,6.4,8.5,8.933333333333334,11.510699077217431,6.198578249336871,1041.7164579293503,999.1342884019485,42.58216952740179,0.6363636363636364,0.8181818181818182,0.7272727272727273,1.0,0.2727272727272727,0.0,0.5,1.0,0.5,0.0,9.5,8.738709677419354,8.083333333333332,8.701704545454545,Delhi Capitals,PA Patel,SP Fleming,S Vidyut,MS Dhoni,JA Morkel,SK Raina,S Badrinath,Joginder Sharma,M Ntini,MS Gony,M Muralitharan,G Gambhir,V Sehwag,AB de Villiers,S Dhawan,Shoaib Malik,KD Karthik,R Bhatia,VY Mahesh,GD McGrath,PJ Sangwan,Mohammad Asif
336003,2008-05-03,Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,0.4,0.2,0.4,-0.19999999999999996,0.375,0.6,0.5,193.33333333333334,184.6,165.0,178.0,169.2,6.0,4.8,9.733333333333333,9.066666666666666,8.164163614163614,7.835854490337249,1003.1837654518164,998.0366659454986,5.1470995063177725,0.7272727272727273,0.9090909090909091,0.9090909090909091,1.0,0.09090909090909094,0.0,0.6666666666666666,1.0,0.5,0.0,8.777777777777779,10.125615763546797,8.722222222222221,5.095767195767196,Punjab Kings,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,K Goel,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,Gagandeep Singh,Mohammad Hafeez,SC Ganguly,DB Das,BJ Hodge,DJ Hussey,LR Shukla,WP Saha,AB Agarkar,Umar Gul,I Sharma,AB Dinda
336004,2008-05-04,Mumbai Indians vs Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,0.2,0.8,0.5,0.0,0.6,0.5,0.5,165.0,164.8,172.2,180.0,169.4,6.6,6.6,8.033333333333335,9.433333333333334,7.398661616161616,6.682214612973235,982.7342391978433,1010.3538016507624,-27.619562452919126,0.6363636363636364,1.0,0.8181818181818182,1.0,0.18181818181818177,0.0,0.5,0.0,0.5,0.5,7.5,9.5,7.3,9.2,Mumbai Indians,YV Takawale,ST Jayasuriya,DJ Thornely,RV Uthappa,DJ Bravo,AM Nayar,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,Shoaib Malik,KD Karthik,R Bhatia,PJ Sangwan,VY Mahesh,Mohammad Asif,GD McGrath
336005,2008-05-04,Rajasthan Royals vs Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,0.8,0.8,0.6111111111111112,0.22222222222222232,0.6666666666666666,0.6111111111111112,0.5,164.6875,163.8,189.4,154.2,178.6,7.0,6.4,7.966666666666667,7.8,7.1295566518567925,10.832078387562259,1024.4711412970332,1030.4969446805367,-6.025803383503444,1.0,1.0,1.0,1.0,0.0,0.0,0.4375,0.0,0.6666666666666666,0.0,7.854166666666666,8.054099951521566,8.697916666666666,7.147690014504946,Rajasthan Royals,GC Smith,SA Asnodkar,YK Pathan,SR Watson,M Rawat,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,M Muralitharan,M Ntini
336006,2008-05-05,Royal Challengers Bengaluru vs Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,0.2,0.6,0.5454545454545454,0.09090909090909083,0.5555555555555556,0.1111111111111111,0.6666666666666666,152.11111111111111,145.8,179.0,178.8,170.2,4.6,6.4,7.433333333333333,9.366666666666665,5.974349206349206,7.9831291314049935,983.1438729259776,1011.944996116321,-28.801123190343446,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.18181818181818177,0.09090909090909094,0.1111111111111111,1.0,0.16666666666666666,0.4545454545454546,7.037037037037036,8.50579297245964,7.692063492063492,3.376926616057051,Punjab Kings,W Jaffer,V Kohli,CL White,JH Kallis,R Dravid,Misbah-ul-Haq,P Kumar,DT Patil,Z Khan,A Kumble,DW Steyn,SE Marsh,JR Hopes,RR Sarwan,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,U Kaul,Gagandeep Singh,S Sreesanth,VRV Singh
336008,2008-05-07,Mumbai Indians vs Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,0.4,0.8,0.3333333333333333,-0.33333333333333337,0.2222222222222222,0.6666666666666666,0.5,162.0,156.6,148.2,165.2,138.6,7.6,7.4,7.533333333333333,7.566666666666667,7.404375901875902,4.5113748336749735,993.5275237485265,1034.6445604721316,-41.11703672360511,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,8.333333333333334,9.428571428571429,6.166666666666667,4.666666666666667,Mumbai Indians,YV Takawale,ST Jayasuriya,RV Uthappa,DJ Bravo,AM Nayar,DJ Thornely,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni,GC Smith,SA Asnodkar,YK Pathan,SR Watson,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
336009,2008-05-08,Delhi Capitals vs Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,0.6,0.6,0.4,-0.19999999999999996,0.5714285714285714,0.6,0.5,175.25,157.2,163.2,160.6,159.2,6.6,6.0,8.633333333333331,7.3,5.263547946306567,8.569221244705115,1001.935148260261,1020.1328640070685,-18.19771574680749,0.9090909090909091,0.7272727272727273,1.0,0.8181818181818182,0.0,0.18181818181818177,0.625,0.0,0.6666666666666666,0.6,8.6875,9.583985375064005,8.145833333333332,6.223389752010442,Chennai Super Kings,G Gambhir,V Sehwag,AB de Villiers,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,VY Mahesh,GD McGrath,Mohammad Asif,PJ Sangwan,S Vidyut,SP Fleming,MS Dhoni,SK Raina,JA Morkel,CK Kapugedera,S Badrinath,MS Gony,P Amarnath,M Muralitharan,L Balaji
336010,2008-05-08,Kolkata Knight Riders vs Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,0.2,0.2,0.56,0.1200000000000001,0.5714285714285714,0.52,0.4,175.34782608695653,165.2,154.6,149.2,159.8,5.4,4.8,8.133333333333333,7.4333333333333345,9.400469874952634,7.126349206349206,994.6722211048071,979.8899847425929,14.782236362214235,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.9090909090909091,0.18181818181818177,0.09090909090909094,0.043478260869565216,0.0,0.3333333333333333,0.0,8.202898550724639,8.933881068019614,8.833333333333332,7.2675318517894425,Kolkata Knight Riders,A Chopra,BJ Hodge,SC Ganguly,DJ Hussey,T Taibu,LR Shukla,WP Saha,M Kartik,Umar Gul,I Sharma,AB Dinda,J Arunkumar,S Chanderpaul,MV Boucher,R Dravid,CL White,P Kumar,R Vinay Kumar,V Kohli,Z Khan,A Kumble,DW Steyn
336013,2008-05-10,Chennai Super Kings vs Punjab Kings,Chennai Super Kings,Punjab Kings,Punjab Kings,field,0.6,0.8,0.6,0.19999999999999996,0.2857142857142857,0.6,0.5,174.66666666666666,159.2,163.0,156.2,147.4,5.6,7.4,7.6,8.999999999999998,8.288909787530477,7.625986274262137,1029.609570087472,1020.3843665014888,9.225203585983309,1.0,0.9090909090909091,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.4,8.944444444444445,8.625806451612902,8.944444444444443,8.073863636363635,Chennai Super Kings,S Vidyut,SP Fleming,SK Raina,S Badrinath,MS Dhoni,JA Morkel,CK Kapugedera,P Amarnath,MS Gony,M Muralitharan,L Balaji,SE Marsh,JR Hopes,K Goel,RR Sarwan,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,U Kaul
336015,2008-05-11,Rajasthan Royals vs Delhi Capitals,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,0.8,0.4,0.631578947368421,0.26315789473684204,0.5714285714285714,0.631578947368421,0.5,161.41176470588235,143.0,168.2,133.0,172.4,7.8,6.2,7.833333333333334,8.466666666666665,3.449836372136512,7.183547946306566,1020.961144251941,994.8906589304225,26.070485321518504,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.18181818181818177,0.09090909090909094,0.47058823529411764,1.0,0.5,0.631578947368421,7.764705882352941,7.809741130843827,8.617647058823529,6.727237660710537,Rajasthan Royals,YK Pathan,GC Smith,M Kaif,SR Watson,RA Jadeja,AD Mascarenhas,SK Warne,Niraj Patel,M Rawat,SK Trivedi,MM Patel,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,KD Karthik,TM Dilshan,A Mishra,MF Maharoof,VY Mahesh,GD McGrath,PJ Sangwan
336016,2008-05-12,Punjab Kings vs Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,0.8,0.0,0.3333333333333333,-0.33333333333333337,0.4,0.6666666666666666,0.5,189.5,162.4,143.6,150.0,150.2,7.4,4.4,8.366666666666665,6.5666666666666655,7.902909351185213,5.328270676691728,1010.643592356081,962.6195899008197,48.02400245526121,0.8181818181818182,0.8181818181818182,0.9090909090909091,1.0,0.09090909090909094,0.0,0.75,1.0,0.5,0.0,8.625,10.180418719211822,7.833333333333333,7.052594627594628,Punjab Kings,SE Marsh,JR Hopes,LA Pomersbach,Yuvraj Singh,DPMD Jayawardene,IK Pathan,TM Srivastava,PP Chawla,U Kaul,S Sreesanth,VRV Singh,J Arunkumar,V Kohli,Misbah-ul-Haq,CL White,R Dravid,MV Boucher,P Kumar,R Vinay Kumar,Z Khan,A Kumble,DW Steyn
336017,2008-05-13,Kolkata Knight Riders vs Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,0.2,0.4,0.5384615384615384,0.07692307692307687,0.5,0.5384615384615384,0.4,173.41666666666666,146.6,167.8,157.6,171.8,4.2,6.4,7.466666666666667,8.533333333333335,6.657612732095489,8.138337218337218,1005.3583823938588,986.6991264910226,18.659255902836207,0.7272727272727273,0.9090909090909091,0.9090909090909091,1.0,0.09090909090909094,0.0,0.08333333333333333,0.0,0.5,0.0,8.145833333333334,8.561636023518796,8.708333333333334,6.964718024631549,Kolkata Knight Riders,Salman Butt,A Chopra,SC Ganguly,DJ Hussey,T Taibu,LR Shukla,WP Saha,Iqbal Abdulla,I Sharma,AB Dinda,Shoaib Akhtar,G Gambhir,V Sehwag,AB de Villiers,MK Tiwary,S Dhawan,TM Dilshan,A Mishra,MF Maharoof,VY Mahesh,PJ Sangwan,GD McGrath
336018,2008-05-14,Mumbai Indians vs Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,0.8,0.6,0.5384615384615384,0.07692307692307687,0.3333333333333333,0.5,0.6666666666666666,172.54166666666666,129.2,165.0,135.4,159.4,9.4,5.6,6.666666666666666,7.866666666666667,3.2529870129870133,7.967870826491516,1011.1394930481878,1035.652820840782,-24.51332779259417,0.7272727272727273,0.9090909090909091,1.0,1.0,0.0,0.0,0.125,1.0,0.42857142857142855,0.5384615384615384,8.479166666666666,8.760944445223853,7.958333333333333,8.611357758793448,Mumbai Indians,ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely,DJ Bravo,AM Nayar,SM Pollock,YV Takawale,RR Raje,A Nehra,DS Kulkarni,S Vidyut,SP Fleming,SK Raina,S Badrinath,CK Kapugedera,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,L Balaji,M Muralitharan
